symbol,marketCap,trailingPE,trailingEps,returnOnEquity,profitMargins,dividendYield
600745.SS,61830066176,42.000004,1.18,0.03652,0.02456,0.0043
600028.SS,718229405696,12.240741,0.54,0.07566,0.01899,0.0705
600893.SS,106037166080,79.56,0.5,0.033570003,0.03407,0.0034
300450.SZ,49556557824,19.119495,1.59,0.23325,0.17749001,0.0159
601628.SS,864841367552,24.258064,1.55,0.07677,0.04438,0.017
601658.SS,501024325632,6.3488374,0.86,0.09984,0.28274,0.0456
002821.SZ,48319217664,14.332265,9.36,0.22909,0.32953998,0.0062
300595.SZ,26120001536,37.42308,0.78,0.19427,0.41709998,0.0050999997
600588.SS,70516285440,342.33334,0.06,0.019199999,0.02279,0.003
601009.SS,89783320576,5.528662,1.57,0.1299,0.52379,0.0531
601390.SS,173792034816,6.349593,1.23,0.088070005,0.027209999,0.024400001
601377.SS,52679536640,14.523809,0.42,0.07667,0.25563,0.0291
601857.SS,1332037156864,9.152941,0.85,0.11145,0.048270002,0.0382
688036.SS,103838187520,46.293907,2.79,0.14033,0.04937,0.0135
300413.SZ,61247377408,32.74,1.0,0.09707,0.13656999,0.0041
002601.SZ,38586707968,13.130081,1.23,0.13236,0.1173,0.048699997
300408.SZ,56346845184,41.17143,0.7,0.09047,0.29221,0.0111
600132.SS,45241610240,34.494465,2.71,0.65139,0.09217,0.0221
600584.SS,58102308864,23.32143,1.4,0.10672,0.07875,0.0064
601225.SS,171310645248,4.8016305,3.68,0.39506,0.20799999,0.0758
000776.SZ,104083750912,13.25,1.12,0.08137,0.34077,0.0334
000895.SZ,85819629568,15.103659,1.64,0.24541001,0.08737001,0.1174
002001.SZ,47909105664,15.656566,0.99,0.13011,0.20082001,0.0322
300433.SZ,58713112576,19.762712,0.59,0.06895,0.061950002,0.0175
600111.SS,86472474624,15.84106,1.51,0.23256999,0.14578,0.019
600426.SS,62807805952,13.887323,2.13,0.17153,0.16471,0.026199998
600926.SS,72764538880,7.217647,1.7,0.12874,0.51255,0.028499998
601100.SS,76426739712,30.64516,1.86,0.21183,0.28968,0.013099999
601939.SS,1151794151424,5.102362,1.27,0.114779994,0.48354998,0.0547
603882.SS,34267402240,16.116484,4.55,0.25186002,0.15381,0.0182
000166.SZ,104721825792,30.2,0.15,0.03707,0.17513001,0.0216
002050.SZ,94368063488,35.04,0.75,0.21625,0.12247,0.0123000005
002179.SZ,89444909056,28.315435,1.49,0.17124,0.17271,0.0135
600958.SS,74566828032,19.632652,0.49,0.05831,0.20833,0.025
000786.SZ,42254647296,13.741758,1.82,0.15133001,0.158,0.025999999
000963.SZ,70142459904,27.390411,1.46,0.13719,0.065560006,0.0073
002007.SZ,40464527360,33.104477,0.67,0.1155,0.25101,0.014099999
002841.SZ,44528676864,20.483871,3.1,0.19577,0.099630006,0.017
300003.SZ,43404480512,18.464,1.25,0.15447,0.21475,0.0121
600600.SS,112224370688,33.180603,2.99,0.15642999,0.11986,0.0112
600741.SS,57915465728,8.2747755,2.22,0.13713,0.04394,0.048499998
000157.SZ,45627473920,24.73077,0.26,0.03952,0.05256,0.0505
002236.SZ,62334111744,22.853659,0.82,0.08543,0.08018,0.0125
600143.SS,22665916416,12.362318,0.69,0.10448,0.046,0.026500002
601006.SS,115703209984,11.9375,0.64,0.096219994,0.15367,0.0621
601336.SS,98797641728,8.877029,4.31,0.120979995,0.063439995,0.0379
601901.SS,54578823168,24.555555,0.27,0.05335,0.28303,0.006
603806.SS,56278990848,34.70115,0.87,0.119119994,0.080570005,0.0053
